slang	formal
gw ga mnm karena sakit	saya tidak minum karena sakit
gua sdh ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
ntr gue kerja setelah makan	nanti saya kerja setelah makan
kmren gue mkn bersama tmn	kemarin saya makan bersama teman
gue lg kerja di kantor	saya sedang kerja di kantor
gw ga belajar karena sakit	saya tidak belajar karena sakit
bsk gue akan main ke rumah	besok saya akan main ke rumah
gue blm ngbrl tugas dari sekolah	saya belum ngobrol tugas dari sekolah
gue gk tdr karena sakit	saya tidak tidur karena sakit
gue ga bljr karena sakit	saya tidak belajar karena sakit
bsk gue akan kerja ke warung	besok saya akan kerja ke warung
ntar gua ngobrol setelah makan	nanti saya ngobrol setelah makan
gw akan jalan jika lo mau	saya akan pergi jika kamu mau
gw udah ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
gua lg ngantor di kafe	saya sedang kerja di kafe
kmren gua mnm bersama sobat	kemarin saya minum bersama teman
hari ini gw mau ngantor dengan lo	hari ini saya mau kerja dengan kamu
kmren gue ngbrl bersama tmn	kemarin saya ngobrol bersama teman
gw lagi ngobrol di sekolah	saya sedang ngobrol di sekolah
hari ini gua mo makan dengan kamu	hari ini saya mau makan dengan kamu
gw ingin bobok di rmh saja	saya ingin tidur di rumah saja
gw ingin minum di rumah saja	saya ingin minum di rumah saja
gue nggak ngbrl karena sakit	saya tidak ngobrol karena sakit
gw belom kerja tugas dari sklh	saya belum kerja tugas dari sekolah
gw ingin ngobrol di rmh saja	saya ingin ngobrol di rumah saja
kmrn gue jln bersama tmn	kemarin saya pergi bersama teman
kmren gua jln bersama tmn	kemarin saya pergi bersama teman
gue akan belajar jika kamu mo	saya akan belajar jika kamu mau
ntr gua bljr setelah mkn	nanti saya belajar setelah makan
gua belom main tugas dari sklh	saya belum main tugas dari sekolah
besok gw akan kerja ke rmh	besok saya akan kerja ke rumah
gue lagi bljr di sekolah	saya sedang belajar di sekolah
gue blm pergi tugas dari sekolah	saya belum pergi tugas dari sekolah
gue belom jalan tugas dari sklh	saya belum pergi tugas dari sekolah
gue lg bobok di kafe	saya sedang tidur di kafe
bsk gua akan tdr ke rmh	besok saya akan tidur ke rumah
kmren gue kerja bersama tmn	kemarin saya kerja bersama teman
gua udah bljr dan ingin istirahat	saya sudah belajar dan ingin istirahat
kmren gua ngantor bersama sobat	kemarin saya kerja bersama teman
gw akan ngantor jika lo mau	saya akan kerja jika kamu mau
hari ini gw mo bobok dengan lu	hari ini saya mau tidur dengan kamu
kmrn gue tdr bersama tmn	kemarin saya tidur bersama teman
hari ini gw mo tdr dengan lu	hari ini saya mau tidur dengan kamu
kmren gue kerja bersama sobat	kemarin saya kerja bersama teman
besok gw akan main ke sklh	besok saya akan main ke sekolah
gua sdh ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
gw akan makan jika lu mo	saya akan makan jika kamu mau
gw ingin minum di rmh saja	saya ingin minum di rumah saja
kmrn gue ngantor bersama sobat	kemarin saya kerja bersama teman
kmren gua ngbrl bersama sobat	kemarin saya ngobrol bersama teman
bsk gw akan ngobrol ke sekolah	besok saya akan ngobrol ke sekolah
bsk gua akan ngbrl ke rmh	besok saya akan ngobrol ke rumah
gw ingin belajar di rumah saja	saya ingin belajar di rumah saja
kmren gue mnm bersama sobat	kemarin saya minum bersama teman
gw belom makan tugas dari sekolah	saya belum makan tugas dari sekolah
gw akan ngantor jika lu mo	saya akan kerja jika kamu mau
kmren gue mnm bersama sobat	kemarin saya minum bersama teman
kmrn gw belajar bersama sobat	kemarin saya belajar bersama teman
gua sdh kerja dan ingin istirahat	saya sudah kerja dan ingin istirahat
gua sdh ngbrl dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
gua akan kerja jika kamu mau	saya akan kerja jika kamu mau
gw blm kerja tugas dari sekolah	saya belum kerja tugas dari sekolah
kmrn gw ngobrol bersama tmn	kemarin saya ngobrol bersama teman
hari ini gua mo ngobrol dengan lo	hari ini saya mau ngobrol dengan kamu
gue blm main tugas dari sekolah	saya belum main tugas dari sekolah
gue ga minum karena sakit	saya tidak minum karena sakit
gue sdh mnm dan ingin istirahat	saya sudah minum dan ingin istirahat
besok gue akan ngantor ke rumah	besok saya akan kerja ke rumah
gua ingin kerja di rumah saja	saya ingin kerja di rumah saja
hari ini gua mau tdr dengan kamu	hari ini saya mau tidur dengan kamu
gw ga ngobrol karena sakit	saya tidak ngobrol karena sakit
hari ini gw mo mkn dengan kamu	hari ini saya mau makan dengan kamu
gw akan belajar jika lo mau	saya akan belajar jika kamu mau
gua sdh ngbrl dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
bsk gue akan ngobrol ke kantor	besok saya akan ngobrol ke kantor
gua lg belajar di kafe	saya sedang belajar di kafe
hari ini gue mau bljr dengan kamu	hari ini saya mau belajar dengan kamu
gw lagi main di kampus	saya sedang main di kampus
gw sdh minum dan ingin istirahat	saya sudah minum dan ingin istirahat
gw akan ngbrl jika lo mau	saya akan ngobrol jika kamu mau
gw ingin ngobrol di rumah saja	saya ingin ngobrol di rumah saja
gw akan minum jika kamu mo	saya akan minum jika kamu mau
besok gue akan belajar ke rmh	besok saya akan belajar ke rumah
besok gue akan main ke kafe	besok saya akan main ke kafe
gua lagi kerja di kampus	saya sedang kerja di kampus
kmrn gw pergi bersama tmn	kemarin saya pergi bersama teman
bsk gue akan maen ke warung	besok saya akan main ke warung
gw nggak ngantor karena sakit	saya tidak kerja karena sakit
gua lg ngantor di sklh	saya sedang kerja di sekolah
hari ini gw mo ngbrl dengan lo	hari ini saya mau ngobrol dengan kamu
gua blm ngbrl tugas dari sekolah	saya belum ngobrol tugas dari sekolah
gue lagi jln di kantor	saya sedang pergi di kantor
gue belom kerja tugas dari sklh	saya belum kerja tugas dari sekolah
gue ga tdr karena sakit	saya tidak tidur karena sakit
gue akan tdr jika lu mau	saya akan tidur jika kamu mau
gue udah tdr dan ingin istirahat	saya sudah tidur dan ingin istirahat
gue lg tdr di kampus	saya sedang tidur di kampus
gua ga mnm karena sakit	saya tidak minum karena sakit
gue ingin makan di rmh saja	saya ingin makan di rumah saja
hari ini gua mau kerja dengan kamu	hari ini saya mau kerja dengan kamu
kmrn gua bljr bersama tmn	kemarin saya belajar bersama teman
gua belom pergi tugas dari sklh	saya belum pergi tugas dari sekolah
gua gk ngbrl karena sakit	saya tidak ngobrol karena sakit
gua udah belajar dan ingin istirahat	saya sudah belajar dan ingin istirahat
kmrn gw bobok bersama sobat	kemarin saya tidur bersama teman
gue ga jln karena sakit	saya tidak pergi karena sakit
gua belom jln tugas dari sklh	saya belum pergi tugas dari sekolah
gua nggak kerja karena sakit	saya tidak kerja karena sakit
hari ini gw mo bobok dengan lo	hari ini saya mau tidur dengan kamu
gue ga mkn karena sakit	saya tidak makan karena sakit
gw ingin maen di rmh saja	saya ingin main di rumah saja
gua udah bljr dan ingin istirahat	saya sudah belajar dan ingin istirahat
gue blm tdr tugas dari sklh	saya belum tidur tugas dari sekolah
gua lg ngbrl di warung	saya sedang ngobrol di warung
gw ingin mkn di rumah saja	saya ingin makan di rumah saja
gua ingin maen di rmh saja	saya ingin main di rumah saja
gue belom minum tugas dari sklh	saya belum minum tugas dari sekolah
gua gk makan karena sakit	saya tidak makan karena sakit
bsk gw akan ngantor ke sklh	besok saya akan kerja ke sekolah
hari ini gw mo mnm dengan lo	hari ini saya mau minum dengan kamu
gue belom minum tugas dari sklh	saya belum minum tugas dari sekolah
ntr gw bobok setelah makan	nanti saya tidur setelah makan
kmren gua makan bersama tmn	kemarin saya makan bersama teman
ntr gue minum setelah makan	nanti saya minum setelah makan
gw lagi kerja di kampus	saya sedang kerja di kampus
gua sdh makan dan ingin istirahat	saya sudah makan dan ingin istirahat
gw akan kerja jika lo mau	saya akan kerja jika kamu mau
gue akan pergi jika kamu mau	saya akan pergi jika kamu mau
hari ini gw mo maen dengan lu	hari ini saya mau main dengan kamu
gua gk jln karena sakit	saya tidak pergi karena sakit
gue gk minum karena sakit	saya tidak minum karena sakit
gua belom pergi tugas dari sekolah	saya belum pergi tugas dari sekolah
bsk gw akan ngbrl ke rumah	besok saya akan ngobrol ke rumah
kmren gw tdr bersama sobat	kemarin saya tidur bersama teman
kmrn gue bobok bersama tmn	kemarin saya tidur bersama teman
gua sdh ngantor dan ingin istirahat	saya sudah kerja dan ingin istirahat
hari ini gw mau maen dengan lu	hari ini saya mau main dengan kamu
gw ingin ngantor di rumah saja	saya ingin kerja di rumah saja
ntar gue bljr setelah mkn	nanti saya belajar setelah makan
ntar gue kerja setelah mkn	nanti saya kerja setelah makan
kmren gue ngantor bersama sobat	kemarin saya kerja bersama teman
hari ini gua mo tdr dengan lo	hari ini saya mau tidur dengan kamu
gua ingin bobok di rmh saja	saya ingin tidur di rumah saja
ntr gua tdr setelah makan	nanti saya tidur setelah makan
ntar gw makan setelah mkn	nanti saya makan setelah makan
gua ingin makan di rumah saja	saya ingin makan di rumah saja
gw gk mkn karena sakit	saya tidak makan karena sakit
gw ga jln karena sakit	saya tidak pergi karena sakit
gw akan jalan jika kamu mo	saya akan pergi jika kamu mau
gue akan jalan jika lo mau	saya akan pergi jika kamu mau
ntr gue makan setelah mkn	nanti saya makan setelah makan
gua belom ngobrol tugas dari sekolah	saya belum ngobrol tugas dari sekolah
gua lg ngbrl di warung	saya sedang ngobrol di warung
gw ingin minum di rumah saja	saya ingin minum di rumah saja
gw gk main karena sakit	saya tidak main karena sakit
gue nggak ngbrl karena sakit	saya tidak ngobrol karena sakit
gw akan belajar jika lo mo	saya akan belajar jika kamu mau
gua gk jln karena sakit	saya tidak pergi karena sakit
bsk gw akan tdr ke rmh	besok saya akan tidur ke rumah
bsk gue akan ngobrol ke sklh	besok saya akan ngobrol ke sekolah
gue lagi jln di kantor	saya sedang pergi di kantor
gua akan ngantor jika lo mau	saya akan kerja jika kamu mau
gue akan main jika lo mo	saya akan main jika kamu mau
gw belom minum tugas dari sklh	saya belum minum tugas dari sekolah
kmrn gue makan bersama sobat	kemarin saya makan bersama teman
kmrn gua ngantor bersama tmn	kemarin saya kerja bersama teman
ntar gue ngantor setelah makan	nanti saya kerja setelah makan
ntar gue kerja setelah mkn	nanti saya kerja setelah makan
gue blm mkn tugas dari sklh	saya belum makan tugas dari sekolah
gw belom mkn tugas dari sekolah	saya belum makan tugas dari sekolah
gue ingin bljr di rumah saja	saya ingin belajar di rumah saja
gue nggak bobok karena sakit	saya tidak tidur karena sakit
ntar gue ngobrol setelah mkn	nanti saya ngobrol setelah makan
hari ini gua mo mnm dengan lo	hari ini saya mau minum dengan kamu
gua sdh main dan ingin istirahat	saya sudah main dan ingin istirahat
gue akan minum jika kamu mo	saya akan minum jika kamu mau
gw udah tdr dan ingin istirahat	saya sudah tidur dan ingin istirahat
bsk gw akan bljr ke rmh	besok saya akan belajar ke rumah
ntar gua ngobrol setelah mkn	nanti saya ngobrol setelah makan
ntar gw makan setelah makan	nanti saya makan setelah makan
gue gk main karena sakit	saya tidak main karena sakit
gua lagi minum di kampus	saya sedang minum di kampus
kmrn gua makan bersama tmn	kemarin saya makan bersama teman
kmrn gue jalan bersama sobat	kemarin saya pergi bersama teman
gua udah ngbrl dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
ntr gw ngbrl setelah mkn	nanti saya ngobrol setelah makan
hari ini gua mo bljr dengan lu	hari ini saya mau belajar dengan kamu
hari ini gw mau kerja dengan lu	hari ini saya mau kerja dengan kamu
gue akan pergi jika lu mau	saya akan pergi jika kamu mau
besok gua akan ngantor ke kantor	besok saya akan kerja ke kantor
gua sdh maen dan ingin istirahat	saya sudah main dan ingin istirahat
gua ga ngantor karena sakit	saya tidak kerja karena sakit
gua akan belajar jika lu mau	saya akan belajar jika kamu mau
gua gk belajar karena sakit	saya tidak belajar karena sakit
gue akan jln jika lo mau	saya akan pergi jika kamu mau
hari ini gua mo minum dengan lu	hari ini saya mau minum dengan kamu
gua lagi maen di warung	saya sedang main di warung
gua akan bljr jika lu mau	saya akan belajar jika kamu mau
gw nggak belajar karena sakit	saya tidak belajar karena sakit
gue lagi tdr di rumah	saya sedang tidur di rumah
gua gk kerja karena sakit	saya tidak kerja karena sakit
gua belom bobok tugas dari sklh	saya belum tidur tugas dari sekolah
gw lagi main di kafe	saya sedang main di kafe
gw sdh ngbrl dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
kmren gua bobok bersama tmn	kemarin saya tidur bersama teman
gw lg mnm di warung	saya sedang minum di warung
gw ga main karena sakit	saya tidak main karena sakit
hari ini gue mau tdr dengan lo	hari ini saya mau tidur dengan kamu
gue akan ngobrol jika lo mo	saya akan ngobrol jika kamu mau
besok gw akan mnm ke kafe	besok saya akan minum ke kafe
gue blm tdr tugas dari sekolah	saya belum tidur tugas dari sekolah
gua ingin bobok di rmh saja	saya ingin tidur di rumah saja
gue gk belajar karena sakit	saya tidak belajar karena sakit
ntr gue makan setelah makan	nanti saya makan setelah makan
gue lg bobok di kampus	saya sedang tidur di kampus
gua blm kerja tugas dari sekolah	saya belum kerja tugas dari sekolah
ntr gua mnm setelah makan	nanti saya minum setelah makan
gua ingin kerja di rumah saja	saya ingin kerja di rumah saja
gua nggak mnm karena sakit	saya tidak minum karena sakit
gua akan pergi jika lo mau	saya akan pergi jika kamu mau
bsk gw akan ngantor ke kampus	besok saya akan kerja ke kampus
ntr gue bljr setelah mkn	nanti saya belajar setelah makan
hari ini gua mo tdr dengan lu	hari ini saya mau tidur dengan kamu
gue ingin makan di rumah saja	saya ingin makan di rumah saja
gue ingin jalan di rumah saja	saya ingin pergi di rumah saja
besok gw akan mnm ke kampus	besok saya akan minum ke kampus
hari ini gue mau minum dengan lo	hari ini saya mau minum dengan kamu
gw lagi ngbrl di kafe	saya sedang ngobrol di kafe
gua udah maen dan ingin istirahat	saya sudah main dan ingin istirahat
hari ini gw mau tdr dengan kamu	hari ini saya mau tidur dengan kamu
gw blm mkn tugas dari sekolah	saya belum makan tugas dari sekolah
gue lagi belajar di kantor	saya sedang belajar di kantor
gw belom bljr tugas dari sekolah	saya belum belajar tugas dari sekolah
gue sdh maen dan ingin istirahat	saya sudah main dan ingin istirahat
hari ini gw mau ngobrol dengan lo	hari ini saya mau ngobrol dengan kamu
hari ini gw mo minum dengan lo	hari ini saya mau minum dengan kamu
ntar gua ngobrol setelah makan	nanti saya ngobrol setelah makan
gue akan belajar jika lu mau	saya akan belajar jika kamu mau
gw belom belajar tugas dari sklh	saya belum belajar tugas dari sekolah
gua lg makan di rmh	saya sedang makan di rumah
ntr gua jalan setelah makan	nanti saya pergi setelah makan
gue lagi jalan di rmh	saya sedang pergi di rumah
gue udah minum dan ingin istirahat	saya sudah minum dan ingin istirahat
gua ga bljr karena sakit	saya tidak belajar karena sakit
gue ingin ngantor di rumah saja	saya ingin kerja di rumah saja
hari ini gw mau bljr dengan lo	hari ini saya mau belajar dengan kamu
hari ini gw mau ngbrl dengan lu	hari ini saya mau ngobrol dengan kamu
gua ga ngbrl karena sakit	saya tidak ngobrol karena sakit
besok gua akan maen ke kantor	besok saya akan main ke kantor
besok gw akan jln ke kafe	besok saya akan pergi ke kafe
kmrn gw bljr bersama tmn	kemarin saya belajar bersama teman
gw akan ngantor jika kamu mo	saya akan kerja jika kamu mau
gue blm mnm tugas dari sekolah	saya belum minum tugas dari sekolah
gua ingin bobok di rumah saja	saya ingin tidur di rumah saja
hari ini gw mo ngbrl dengan lu	hari ini saya mau ngobrol dengan kamu
hari ini gua mau bljr dengan kamu	hari ini saya mau belajar dengan kamu
gue akan tdr jika lu mau	saya akan tidur jika kamu mau
gw udah ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
ntr gw belajar setelah makan	nanti saya belajar setelah makan
bsk gua akan main ke kampus	besok saya akan main ke kampus
gue akan jln jika lo mo	saya akan pergi jika kamu mau
gw blm mnm tugas dari sekolah	saya belum minum tugas dari sekolah
gua lagi maen di warung	saya sedang main di warung
gue ga mkn karena sakit	saya tidak makan karena sakit
hari ini gue mo bobok dengan lu	hari ini saya mau tidur dengan kamu
gw lagi mnm di kafe	saya sedang minum di kafe
gua akan ngantor jika lu mau	saya akan kerja jika kamu mau
hari ini gw mo jln dengan lu	hari ini saya mau pergi dengan kamu
gue blm minum tugas dari sklh	saya belum minum tugas dari sekolah
gue ga minum karena sakit	saya tidak minum karena sakit
gw gk belajar karena sakit	saya tidak belajar karena sakit
gw lg main di rumah	saya sedang main di rumah
gw sdh maen dan ingin istirahat	saya sudah main dan ingin istirahat
kmrn gw bljr bersama tmn	kemarin saya belajar bersama teman
gw ingin bljr di rumah saja	saya ingin belajar di rumah saja
ntr gw ngobrol setelah makan	nanti saya ngobrol setelah makan
kmrn gw bobok bersama sobat	kemarin saya tidur bersama teman
besok gue akan bobok ke warung	besok saya akan tidur ke warung
gua lagi bobok di sekolah	saya sedang tidur di sekolah
gua ga kerja karena sakit	saya tidak kerja karena sakit
gw ingin bljr di rumah saja	saya ingin belajar di rumah saja
gua gk pergi karena sakit	saya tidak pergi karena sakit
gue sdh ngantor dan ingin istirahat	saya sudah kerja dan ingin istirahat
gw akan bobok jika kamu mo	saya akan tidur jika kamu mau
gue nggak bobok karena sakit	saya tidak tidur karena sakit
gua ingin mnm di rmh saja	saya ingin minum di rumah saja
gue sdh jln dan ingin istirahat	saya sudah pergi dan ingin istirahat
gue blm ngobrol tugas dari sklh	saya belum ngobrol tugas dari sekolah
gw gk bljr karena sakit	saya tidak belajar karena sakit
kmrn gue maen bersama tmn	kemarin saya main bersama teman
gua ingin belajar di rumah saja	saya ingin belajar di rumah saja
ntar gua tdr setelah mkn	nanti saya tidur setelah makan
gua ga jln karena sakit	saya tidak pergi karena sakit
besok gue akan main ke kantor	besok saya akan main ke kantor
gw nggak jalan karena sakit	saya tidak pergi karena sakit
gw ingin minum di rumah saja	saya ingin minum di rumah saja
gue belom belajar tugas dari sekolah	saya belum belajar tugas dari sekolah
gua akan mkn jika lu mo	saya akan makan jika kamu mau
gw gk kerja karena sakit	saya tidak kerja karena sakit
gue akan tdr jika kamu mau	saya akan tidur jika kamu mau
kmrn gue jln bersama tmn	kemarin saya pergi bersama teman
ntr gw pergi setelah makan	nanti saya pergi setelah makan
gw akan bljr jika kamu mau	saya akan belajar jika kamu mau
gw nggak belajar karena sakit	saya tidak belajar karena sakit
kmrn gw ngantor bersama sobat	kemarin saya kerja bersama teman
gue nggak mkn karena sakit	saya tidak makan karena sakit
gue sdh ngbrl dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
gue blm mkn tugas dari sekolah	saya belum makan tugas dari sekolah
gw nggak jln karena sakit	saya tidak pergi karena sakit
gw akan kerja jika kamu mau	saya akan kerja jika kamu mau
bsk gua akan jalan ke kafe	besok saya akan pergi ke kafe
gw blm pergi tugas dari sekolah	saya belum pergi tugas dari sekolah
gua udah mkn dan ingin istirahat	saya sudah makan dan ingin istirahat
gue sdh main dan ingin istirahat	saya sudah main dan ingin istirahat
ntar gua ngantor setelah mkn	nanti saya kerja setelah makan
besok gua akan ngobrol ke rmh	besok saya akan ngobrol ke rumah
gua akan maen jika kamu mo	saya akan main jika kamu mau
gw sdh jalan dan ingin istirahat	saya sudah pergi dan ingin istirahat
gw lg kerja di rumah	saya sedang kerja di rumah
besok gue akan kerja ke warung	besok saya akan kerja ke warung
gue blm mkn tugas dari sekolah	saya belum makan tugas dari sekolah
gua ingin makan di rmh saja	saya ingin makan di rumah saja
ntar gua jalan setelah makan	nanti saya pergi setelah makan
gua belom bljr tugas dari sklh	saya belum belajar tugas dari sekolah
gua gk ngantor karena sakit	saya tidak kerja karena sakit
ntar gw bljr setelah makan	nanti saya belajar setelah makan
besok gw akan ngantor ke sekolah	besok saya akan kerja ke sekolah
gua nggak jln karena sakit	saya tidak pergi karena sakit
gue blm tdr tugas dari sklh	saya belum tidur tugas dari sekolah
bsk gue akan main ke warung	besok saya akan main ke warung
gw belom belajar tugas dari sklh	saya belum belajar tugas dari sekolah
gw ingin minum di rmh saja	saya ingin minum di rumah saja
gua ingin makan di rumah saja	saya ingin makan di rumah saja
gua sdh bobok dan ingin istirahat	saya sudah tidur dan ingin istirahat
gua blm ngbrl tugas dari sekolah	saya belum ngobrol tugas dari sekolah
gw udah jln dan ingin istirahat	saya sudah pergi dan ingin istirahat
gue sdh makan dan ingin istirahat	saya sudah makan dan ingin istirahat
gue ingin main di rmh saja	saya ingin main di rumah saja
besok gue akan makan ke warung	besok saya akan makan ke warung
gw sdh bljr dan ingin istirahat	saya sudah belajar dan ingin istirahat
ntr gw mkn setelah makan	nanti saya makan setelah makan
ntr gue belajar setelah mkn	nanti saya belajar setelah makan
gua sdh jalan dan ingin istirahat	saya sudah pergi dan ingin istirahat
hari ini gue mo mkn dengan kamu	hari ini saya mau makan dengan kamu
gua udah minum dan ingin istirahat	saya sudah minum dan ingin istirahat
gw lg mnm di rumah	saya sedang minum di rumah
gw nggak jalan karena sakit	saya tidak pergi karena sakit
gue belom ngobrol tugas dari sklh	saya belum ngobrol tugas dari sekolah
gue lg mnm di kampus	saya sedang minum di kampus
gue ga belajar karena sakit	saya tidak belajar karena sakit
gue ingin ngantor di rumah saja	saya ingin kerja di rumah saja
kmren gue belajar bersama sobat	kemarin saya belajar bersama teman
gue akan main jika lo mau	saya akan main jika kamu mau
besok gua akan ngobrol ke warung	besok saya akan ngobrol ke warung
bsk gua akan main ke rumah	besok saya akan main ke rumah
gue blm mkn tugas dari sklh	saya belum makan tugas dari sekolah
besok gue akan main ke kantor	besok saya akan main ke kantor
besok gue akan maen ke warung	besok saya akan main ke warung
hari ini gw mau tdr dengan kamu	hari ini saya mau tidur dengan kamu
gw akan bobok jika lu mo	saya akan tidur jika kamu mau
hari ini gua mo ngobrol dengan lo	hari ini saya mau ngobrol dengan kamu
gw ingin mnm di rumah saja	saya ingin minum di rumah saja
gw ingin mnm di rumah saja	saya ingin minum di rumah saja
gw lg jln di kantor	saya sedang pergi di kantor
gua lagi belajar di warung	saya sedang belajar di warung
kmrn gua maen bersama sobat	kemarin saya main bersama teman
ntr gue bobok setelah mkn	nanti saya tidur setelah makan
gua ga belajar karena sakit	saya tidak belajar karena sakit
gw blm tdr tugas dari sklh	saya belum tidur tugas dari sekolah
kmrn gue kerja bersama tmn	kemarin saya kerja bersama teman
kmren gue pergi bersama tmn	kemarin saya pergi bersama teman
gue ingin mkn di rumah saja	saya ingin makan di rumah saja
bsk gua akan mnm ke kantor	besok saya akan minum ke kantor
hari ini gua mo mkn dengan lu	hari ini saya mau makan dengan kamu
ntar gua ngobrol setelah mkn	nanti saya ngobrol setelah makan
gua akan maen jika lu mo	saya akan main jika kamu mau
gw lg minum di kampus	saya sedang minum di kampus
gue blm minum tugas dari sklh	saya belum minum tugas dari sekolah
ntr gw jalan setelah makan	nanti saya pergi setelah makan
gue akan kerja jika lu mo	saya akan kerja jika kamu mau
ntar gw belajar setelah makan	nanti saya belajar setelah makan
gue nggak bobok karena sakit	saya tidak tidur karena sakit
gw nggak bljr karena sakit	saya tidak belajar karena sakit
gw ingin bljr di rmh saja	saya ingin belajar di rumah saja
ntr gua tdr setelah makan	nanti saya tidur setelah makan
besok gue akan bljr ke kampus	besok saya akan belajar ke kampus
gua ga main karena sakit	saya tidak main karena sakit
gua blm mkn tugas dari sekolah	saya belum makan tugas dari sekolah
gua udah ngantor dan ingin istirahat	saya sudah kerja dan ingin istirahat
gua akan mnm jika kamu mo	saya akan minum jika kamu mau
kmrn gw jalan bersama tmn	kemarin saya pergi bersama teman
gua lg minum di sklh	saya sedang minum di sekolah
bsk gw akan ngbrl ke sklh	besok saya akan ngobrol ke sekolah
gw akan kerja jika kamu mau	saya akan kerja jika kamu mau
gw ingin kerja di rumah saja	saya ingin kerja di rumah saja
gw lg ngobrol di kampus	saya sedang ngobrol di kampus
hari ini gw mau belajar dengan lu	hari ini saya mau belajar dengan kamu
gue ingin kerja di rumah saja	saya ingin kerja di rumah saja
hari ini gue mo belajar dengan lu	hari ini saya mau belajar dengan kamu
kmren gue jln bersama tmn	kemarin saya pergi bersama teman
gue gk main karena sakit	saya tidak main karena sakit
gw ingin mkn di rumah saja	saya ingin makan di rumah saja
kmren gue tdr bersama tmn	kemarin saya tidur bersama teman
gue ga main karena sakit	saya tidak main karena sakit
kmrn gw ngbrl bersama sobat	kemarin saya ngobrol bersama teman
gw akan maen jika lo mau	saya akan main jika kamu mau
gue akan main jika lu mo	saya akan main jika kamu mau
gue udah jalan dan ingin istirahat	saya sudah pergi dan ingin istirahat
gw nggak jln karena sakit	saya tidak pergi karena sakit
gw udah ngbrl dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
ntar gua jln setelah makan	nanti saya pergi setelah makan
kmren gua kerja bersama sobat	kemarin saya kerja bersama teman
gue lagi ngobrol di kampus	saya sedang ngobrol di kampus
gw belom belajar tugas dari sklh	saya belum belajar tugas dari sekolah
hari ini gw mau ngantor dengan lu	hari ini saya mau kerja dengan kamu
gua akan mnm jika kamu mo	saya akan minum jika kamu mau
hari ini gw mau mkn dengan lo	hari ini saya mau makan dengan kamu
bsk gw akan ngobrol ke kampus	besok saya akan ngobrol ke kampus
gue blm maen tugas dari sklh	saya belum main tugas dari sekolah
bsk gue akan belajar ke rumah	besok saya akan belajar ke rumah
besok gua akan pergi ke rumah	besok saya akan pergi ke rumah
besok gua akan kerja ke kampus	besok saya akan kerja ke kampus
besok gua akan maen ke kampus	besok saya akan main ke kampus
bsk gua akan mkn ke kantor	besok saya akan makan ke kantor
gw ingin bobok di rumah saja	saya ingin tidur di rumah saja
ntr gue tdr setelah mkn	nanti saya tidur setelah makan
gua ingin tdr di rmh saja	saya ingin tidur di rumah saja
